2025-08-06 09:42:17 - bible - INFO - 开始生成配置文件
2025-08-06 09:42:17 - bible - INFO - 开始获取圣经书名列表
2025-08-06 09:42:17 - bible - INFO - 圣经书名列表获取完成
2025-08-06 09:42:17 - bible - INFO - 配置文件生成完成
2025-08-06 09:46:51 - bible - INFO - 开始生成配置文件
2025-08-06 09:46:51 - bible - INFO - 开始获取圣经书名列表
2025-08-06 09:46:51 - bible - INFO - 圣经书名列表获取完成
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_59
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_60
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_61
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_62
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_63
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_64
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_65
2025-08-06 09:46:51 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_66
2025-08-06 09:58:02 - bible - INFO - 开始生成配置文件
2025-08-06 09:58:02 - bible - INFO - 开始获取文件内容: /data/hjw/github/bible/data/text/book_name_list.txt
2025-08-06 09:58:02 - bible - INFO - 文件内容获取完成: /data/hjw/github/bible/data/text/book_name_list.txt,行数: 66
2025-08-06 09:58:02 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_2
2025-08-06 09:58:02 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_3
2025-08-06 09:58:02 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_4
2025-08-06 09:58:02 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_5
2025-08-06 09:58:02 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_6
2025-08-06 09:58:02 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_7
2025-08-06 09:58:02 - bible - INFO - 开始创建目录: /data/hjw/github/bible/data/audio/download/4_8
